experiment,exploration_steps,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
1,1,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,3.8217432258980466,6.381480278595916,False
1,1,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9929852192671673,0.9827452619672333,True
1,1,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.17388928455228603,0.24100354977672211,False
1,2,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,5.456793690171139,7.650450981747667,False
1,2,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9854460378659334,0.9703619401981476,True
1,2,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.11622377821333606,0.20586233033881823,False
1,3,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,4.324481420599113,6.3014120223360806,False
1,3,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9908777533159908,0.9761310944767029,True
1,3,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.1838735728662844,0.24667700727159853,False
1,4,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,5.613635318638444,7.731729953105059,False
1,4,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9900459583299801,0.9805968578283075,True
1,4,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.1783248472036809,0.1877937599401027,False
1,5,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,5.712332509356202,7.830220353509503,False
1,5,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9770053458339961,0.9770176793509411,False
1,5,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.18137671047630932,0.24091808780809537,False
1,6,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,6.118687021874393,5.859994288069174,True
1,6,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9867028644031987,0.9865629069419777,True
1,6,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.18042136153421112,0.1832119375827251,False
1,7,manhattan,00871e7f-e808-415b-af2a-a303e87a1937,5.9088623017041755,4.670970658053193,True
1,7,cosine,00871e7f-e808-415b-af2a-a303e87a1937,0.9785652713759239,0.9899698154757222,False
1,7,euclidian,00871e7f-e808-415b-af2a-a303e87a1937,0.19465025418430398,0.18234630585936276,True
2,1,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.965171394947447,4.3503495597797155,True
2,1,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6245019804311267,0.9909878504454415,False
2,1,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8631726134207636,0.1875469628612531,True
2,2,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.7426279284914,5.743557555577354,True
2,2,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.624794956585982,0.9860333916432632,False
2,2,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8609115452149706,0.18487540053281137,True
2,3,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.78911712349918,5.997571546210565,True
2,3,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6225033601813458,0.9801126637987835,False
2,3,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8651903300979544,0.2051121898391517,True
2,4,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.927080220886637,6.148725987994567,True
2,4,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6257851248321803,0.9790093765742026,False
2,4,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8627457883906641,0.19869496179344895,True
2,5,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.691034350747486,6.456654493804308,True
2,5,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6309227438389426,0.9806607864519717,False
2,5,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.859485803068697,0.20183251553926101,True
2,6,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.700430982781086,6.029416778302334,True
2,6,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6218324635179966,0.9845880759776438,False
2,6,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8651147732610331,0.18326944446463597,True
2,7,manhattan,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,26.831688538446087,6.087978189225396,True
2,7,cosine,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.6283622900658041,0.9811601459824209,False
2,7,euclidian,04ae6998-4e0d-4eaa-9a34-3575ad81bd82,0.8558031780888967,0.1940207578303091,True
3,1,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,4.902524344139238,26.922317072849637,False
3,1,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9867579923956699,0.6266401503689556,True
3,1,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.16168266218287972,0.8672754157305057,False
3,2,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.021899899961721,26.806245233103443,False
3,2,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9858018571054202,0.6271776554988346,True
3,2,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.15700415615976884,0.8619677239442229,False
3,3,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.43904913460301,26.794977855164234,False
3,3,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9874046224297282,0.6266731824123807,True
3,3,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.1546449560403535,0.862067103524375,False
3,4,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.43904913460301,26.794977855164234,False
3,4,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9871504355273565,0.6222144852634642,True
3,4,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.15386233339768712,0.8602907726915442,False
3,5,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.092151364836354,26.81185567737475,False
3,5,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9869293573323208,0.6239276359237327,True
3,5,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.17416218806404749,0.8565423864836151,False
3,6,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.303139538499636,26.890224523689085,False
3,6,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9817851765616061,0.6329875992251136,True
3,6,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.19099264369635938,0.8653493892872686,False
3,7,manhattan,00889ea3-cb98-41c8-936e-7fab43c4986d,5.649638453066473,26.71810494067745,False
3,7,cosine,00889ea3-cb98-41c8-936e-7fab43c4986d,0.9856727245499036,0.6297271281465524,True
3,7,euclidian,00889ea3-cb98-41c8-936e-7fab43c4986d,0.1653886620629379,0.8657489341913606,False
5,1,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,26.731709774574483,6.0184558883470345,True
5,1,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.6289433874670949,0.9815814599811165,False
5,1,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.16698819229022546,0.1940323079113984,False
5,2,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,4.753643968907454,5.574727403242832,False
5,2,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.9847441945699695,0.9864142092358005,False
5,2,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.15949579322947088,0.18709069186238164,False
5,3,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,26.6886572513655,4.781687277862147,True
5,3,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.6362070865872941,0.9908646172730435,False
5,3,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.16543931008918455,0.16908045712181236,False
5,4,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,5.233495007553756,4.563498013826575,True
5,4,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.9881236960727451,0.9845194393109928,True
5,4,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.16395397086904753,0.1281300423642419,True
5,5,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,5.098646684116829,4.774593564650786,True
5,5,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.984753425801136,0.9796849444754869,True
5,5,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.18317925116746508,0.16078607334086395,True
5,6,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,5.358897767387134,3.9343163659204947,True
5,6,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.9837387037923199,0.9892574316334688,False
5,6,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.1771481399789024,0.15685551861438576,True
5,7,manhattan,037a5856-613f-4e1d-a9c7-165ba9e773b1,5.10774334533653,4.533320814039143,True
5,7,cosine,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.9869287016965619,0.9910359981718648,False
5,7,euclidian,037a5856-613f-4e1d-a9c7-165ba9e773b1,0.1760879155513189,0.14171216420530475,True
6,1,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,6.143087770983357,26.536945446152004,False
6,1,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.9810226230836564,0.6366184792098856,True
6,1,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.19578181686698792,0.8527662464828387,False
6,2,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,6.259741367232152,26.530383025566778,False
6,2,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.983416600430607,0.6361831540226734,True
6,2,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.2030481406876517,0.8575246821995555,False
6,3,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,5.3889814418650985,26.609807141969668,False
6,3,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.9820541407607833,0.6363792813600836,True
6,3,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.19192358797005082,0.8489263533735504,False
6,4,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,5.8832424320522705,26.65878178165292,False
6,4,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.981931121276404,0.6280682259603343,True
6,4,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.1818339970389876,0.8602020118014101,False
6,5,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,5.673059179355505,26.587976652884663,False
6,5,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.9815912149214739,0.6301866202471091,True
6,5,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.1888238398660015,0.855849540961051,False
6,6,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,5.883701588488975,26.71703310210205,False
6,6,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.9839533694303444,0.6383954944596816,True
6,6,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.19211368706994986,0.8537498181040153,False
6,7,manhattan,007fc322-e91f-4847-bb62-86d0e66d2f92,6.216341777767184,26.627870611116577,False
6,7,cosine,007fc322-e91f-4847-bb62-86d0e66d2f92,0.9808610328656971,0.6322316851849065,True
6,7,euclidian,007fc322-e91f-4847-bb62-86d0e66d2f92,0.18649727409750358,0.8552301503299937,False
