experiment,exploration_steps,exploration_lookup,terminal_pipeline_id,within_lookup,lookup_rank,lookup_score
1,1,5,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,1,6,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,1,7,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,1,8,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,1,9,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,1,10,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,5,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,6,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,7,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,8,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,9,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,2,10,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,5,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,6,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,7,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,8,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,9,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
1,3,10,0163eaa0-1eb3-4edc-82ac-1a010cbbe014,False,,0
2,1,5,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,1,6,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,1,7,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,1,8,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,1,9,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,1,10,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,5,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,6,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,7,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,8,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,9,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,2,10,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,5,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,6,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,7,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,8,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,9,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
2,3,10,051758de-7fdd-4c0f-bdee-154e7ca71eed,False,,0
3,1,5,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,1,6,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,1,7,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,1,8,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,1,9,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,1,10,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,5,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,6,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,7,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,8,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,9,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,2,10,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,5,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,6,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,7,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,8,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,9,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
3,3,10,040d0ead-b1a1-4e26-9777-2d719ce66cb4,False,,0
4,1,5,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,1,6,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,1,7,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,1,8,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,1,9,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,1,10,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,5,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,6,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,7,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,8,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,9,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,2,10,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,5,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,6,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,7,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,8,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,9,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
4,3,10,05b56773-4a65-4325-8fcb-8327b814b3c6,False,,0
5,1,5,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
5,1,6,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
5,1,7,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
5,1,8,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
5,1,9,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
5,1,10,042dedc3-2d77-4756-935e-10be36c73d9a,False,,0
